Name ,Team,Innings ,Runs,Highscore ,Average,Batting strikerate,       100's,      50's,   Wickets,     Bowling Avg,  Bow eco,  Bowling strike rate
moeen ali,chennai,44,910,93,23.3,143.99,0,5,24,26.12,6.79,23.08
ben stokes,chennai,43,920,107,25.56,134.5,1,2,28,34.79,8.56,24.39
gaikwad,chennai,36,1207,101,37.72,130.35,1,10,0,0,0,0
conway,chennai,7,252,87,42,145.66,0,3,0,0,0,0
dube,chennai,35,688,95,24.57,133.33,0,3,4,41.5,9.4,26.5
jadeja,chennai,210,2502,62,26.62,127.65,0,2,132,30.79,7.61,24.28
rayudu,chennai,188,4190,100,28.9,127.12,1,22,0,0,0,0
dhoni,chennai,234,4978,84,39.2,135.2,0,24,0,0,0,0
deepak chahar,chennai,63,79,39,11.29,138.6,0,0,59,29.19,7.8,22.44
simarjeet singh,chennai,6,7,3,7,87.5,0,0,4,34.5,7.67,27
theekshana,chennai,9,7,7,7,100,0,0,12,,,